,DP2e,Dist_CBD2,EPC_A_emision,EPC_B_emision,EPC_C_emision,EPC_D_emision,EPC_E_emision,EPC_F_emision,EPC_G_emision,Estado_contemporaneidad_calidad,Ausencia_singulares_presencia_arm_cocina,FIRE_pr,H_tamaviv,Income_Household_2016,Ln_total_pr,Precio_red,Year_1982_2006,Year_After_2007,bool_aire_acondicionado,bool_ascensor,bool_calefaccion,bool_piscina_comunitaria,desplaz_ponderado,dum_mar_200m,grand_terr_20m2,opin_ruido_si_pr,ratio_bano_hab,superficie
16,9.6178189759,4.903267335003,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8407307776319302,0.9780968593552699,11.0787372589,1.20528569826,25709.208178,12.1802418855,10100.0,0.0,0.0,0.0,1.0,1.0,0.0,25.6519685951,0.0,0.0,40.5849211158,0.5,101.0
17,11.561791907,4.368430140170231,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.2130843297920023,0.8010711016991414,11.0787353516,1.39859218645,28231.1722328,12.0130945085,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.1767226017,0.0,0.0,48.6533662295,0.333333333333,66.0
18,11.5783310457,4.49336582111743,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.9341543995807077,0.4503720084624088,11.0787315369,1.43464529711,26720.7605619,11.8844890214,0.0,0.0,0.0,1.0,0.0,1.0,0.0,27.0779971465,0.0,0.0,47.0392557178,0.333333333333,62.0
19,11.8071488602,4.458286282312617,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.9341543995807077,0.4503720084624088,11.0787324905,1.27107999873,18180.0440746,11.9177236841,6200.0,0.0,0.0,0.0,0.0,0.0,0.0,27.757648383,0.0,0.0,36.8606673639,0.333333333333,75.0
20,9.70102849693,4.16642391157491,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.48319343672206094,-0.2571245329291807,11.1467571259,1.31413601912,20925.3595323,11.8130300574,14680.0,0.0,0.0,1.0,0.0,1.0,0.0,27.5254856675,0.0,0.0,36.5129997801,0.5,40.0
21,10.2823676212,5.2520005493302,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.4648337829219602,0.7464699801651435,11.1099309921,1.51491568148,29868.7287456,12.1547793511,5000.0,0.0,0.0,0.0,1.0,1.0,0.0,26.4353268578,0.0,0.0,34.1509780667,0.5,45.0
22,11.7736681881,4.34150373875821,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9341543995807077,0.4503720084624088,11.0787296295,1.31762966579,16833.3412436,12.0429653077,0.0,0.0,0.0,0.0,1.0,1.0,0.0,27.9763090517,0.0,0.0,38.1955423948,0.333333333333,62.0
23,12.6652094557,2.99311604682049,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5582574048707377,0.21874512927228246,11.0787305832,1.46654534403,19432.821213,11.8458198802,7900.0,0.0,0.0,0.0,0.0,0.0,0.0,27.002482366,0.0,0.0,39.3486250761,0.333333333333,53.0
24,9.84727953161,4.05549271565107,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9341543995807077,0.4503720084624088,11.0992209911,1.34669614782,21139.6353032,11.4927227577,0.0,0.0,0.0,0.0,0.0,1.0,0.0,27.8779792745,0.0,0.0,40.0210562427,0.333333333333,56.0
25,10.6267444349,4.4556163065281,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5454034144694112,0.19954594276475662,11.1602430344,1.33511414283,22006.7828127,11.5898865061,10000.0,0.0,0.0,1.0,0.0,0.0,0.0,27.5509547798,0.0,0.0,36.9149582775,0.5,60.0
26,11.4969514516,4.64480242999275,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1838504277258357,-1.3518928243281032,11.0787305832,1.5790176977,34861.5008471,12.3863086958,0.0,0.0,0.0,0.0,1.0,1.0,0.0,25.3635708185,0.0,0.0,50.9264892607,0.25,70.0
27,11.575744085,3.95641192886846,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.228961021439131,0.22005974917176535,11.0787286758,1.28191100388,21005.0870076,11.544424132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3853807454,0.0,0.0,39.1688812387,0.5,55.0
28,11.2512965134,2.9719726833599,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9341543995807077,0.4503720084624088,11.3766815662,1.43460583299,21611.7599635,11.8493977016,5000.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0874759287,0.0,0.0,34.9149872595,0.5,60.0
29,11.3645574547,5.54272605923452,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5582574048707377,0.21874512927228246,11.6066265106,1.6084304597,35742.7574778,12.1117619661,5000.0,0.0,0.0,0.0,1.0,1.0,0.0,24.4208256543,0.0,0.0,48.9883214991,0.333333333333,64.0
30,11.9366646322,3.33479782186866,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.9341543995807077,0.4503720084624088,11.0787334442,1.42015371097,18497.3271772,12.487485105,24000.0,0.0,0.0,0.0,1.0,0.0,0.0,27.9631071028,0.0,1.0,39.2862400541,0.5,82.0
31,10.8984417212,4.33715996089744,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.5454034144694112,0.19954594276475662,11.1191577911,1.31855433847,19803.2395783,11.8493977016,3000.0,0.0,0.0,1.0,0.0,0.0,0.0,27.9510846315,0.0,0.0,37.3857524593,0.333333333333,50.0
32,9.72889416883,3.86484376461161,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.4801469992007994,0.837608990168575,11.0788343162,1.41411593546,24006.2944982,11.9117015849,6000.0,0.0,0.0,1.0,0.0,1.0,0.0,27.8362878974,0.0,0.0,43.2183546403,0.25,76.0
33,11.3211200018,3.61025813935387,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.18481963603828047,0.05905807357806159,11.0787277222,1.39174822664,21909.402633,12.0015054798,10000.0,0.0,0.0,1.0,1.0,0.0,0.0,28.0580403801,0.0,0.0,38.180247717,0.333333333333,75.0
34,10.4892608892,5.38412859990452,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.8407307776319302,0.9780968593552699,11.0817157328,1.4746042681,29645.5418555,12.0668105782,5000.0,0.0,0.0,1.0,1.0,0.0,0.0,26.2799876574,0.0,0.0,32.4356196171,0.333333333333,74.0
35,10.1895524137,4.20454444915177,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9341543995807077,0.4503720084624088,11.1216087341,1.3060403784,20188.7873995,11.9083402372,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.9840296472,0.0,0.0,36.71566123,0.333333333333,70.0
36,11.8037112173,3.489464547458867,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9341543995807077,0.4503720084624088,11.0787305832,1.33227452321,22038.4435061,11.6952470218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0148733797,0.0,0.0,35.3451166812,0.333333333333,56.0
37,13.4974939471,3.10029418252667,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9341543995807077,0.4503720084624088,11.0787296295,1.44300944542,17063.1912687,12.083565971,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.2017178719,0.0,0.0,42.306546155,0.333333333333,60.0
38,11.7800382863,4.05202947152875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.9341543995807077,0.4503720084624088,11.0787334442,1.27116800793,15788.3914533,12.2452933587,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.4810811864,0.0,1.0,37.0243035318,0.333333333333,91.0
39,11.4750822951,4.19983430340675,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.17673335070529506,-1.2114049551414081,11.0787296295,1.34650759403,18988.8690461,12.1117619661,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.1148288131,0.0,0.0,39.6951716762,0.333333333333,64.0
40,10.0111458028,3.85337715003102,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9341543995807077,0.4503720084624088,11.0787334442,1.36934433274,24126.2541182,11.8422292121,0.0,0.0,0.0,1.0,0.0,0.0,0.0,27.7711130199,0.0,0.0,38.6991234137,0.333333333333,56.0
41,11.5420096551,4.23356664609329,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9341543995807077,0.4503720084624088,11.0787305832,1.44779313099,30925.2268576,11.8277362048,0.0,0.0,0.0,1.0,1.0,0.0,0.0,26.2910848792,0.0,0.0,50.3168341934,0.333333333333,70.0
42,11.0290912703,4.23057354795997,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.8617312928690875,-0.16792666042518126,11.0884531736,1.31819399892,19775.2419464,11.4927227577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.031954846,0.0,0.0,38.9482488647,0.5,46.0
43,11.6753043232,2.85866620050963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09755624964935578,-0.06861882489480339,13.8090901375,1.40127139348,26685.6855996,11.9797992012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.665353709,0.0,1.0,43.3873053172,0.5,58.0
44,10.2769582189,3.83898845001472,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.2532376540480445,0.28742919536927297,11.0787305832,1.35178082005,24854.7255775,11.8844890214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7367302678,0.0,0.0,36.7803879052,0.25,70.0
45,12.5236560304,3.01456496046125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.5480442759064679,0.057116936078629554,11.0787324905,1.45600498981,19346.2215816,11.6526874073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.1320771543,0.0,0.0,39.3775669337,0.333333333333,40.0
46,11.9941248144,3.2404500881688,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.19767362643960704,0.07825726008558742,11.0787305832,1.54553381089,26555.5202311,12.2876526325,0.0,0.0,0.0,0.0,1.0,1.0,0.0,27.1223654022,0.0,1.0,41.2857693589,0.666666666667,91.0
47,11.0230040551,3.7916568367167,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8926538756169139,0.146941326182578,11.0787343979,1.27633114651,19540.3476004,11.6262541503,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0774956958,0.0,0.0,35.0035193152,0.333333333333,60.0
48,11.1588938891,5.383695601997605,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06938904296919007,0.041719371616153855,11.2078928947,1.61946044067,35271.2143089,12.043553716,15.0,0.0,0.0,1.0,1.0,1.0,0.0,24.5936829173,0.0,0.0,43.2889491937,0.333333333333,60.0
